timestamp,load [kW],price [€/kWh],grid_power [kW],soc_kwh [kWh],soc_max [kWh],pv_used [kW],pv_avail [kW],pv_to_bat [kW],pv_to_load [kW],battery_to_load [kW],p_charge [kW],p_discharge [kW],grid_to_bat [kW],grid_to_load [kW]
2022-01-01 00:00:00,0.1,0.2737504,5.801655373553436e-09,1.6388888952940603,0.95,1.4670181598298338e-10,0.0,0.0,1.4670181598298338e-10,0.09999999530183006,1.2501531688497042e-09,0.09999999530183006,1.2501531688497042e-09,4.551502204703731e-09
2022-01-01 01:00:00,0.1,0.2737504,2.529094658522453e-09,1.5219302125105496,0.95,7.046488483263693e-11,0.0,0.0,7.046488483263693e-11,0.09999999804048643,6.399795963667012e-10,0.09999999804048643,6.399795963667012e-10,1.8891150621557515e-09
2022-01-01 02:00:00,0.1,0.2850034,2.7179919605241195e-09,1.4049715241524436,0.95,5.660889454097713e-11,0.0,0.0,5.660889454097713e-11,0.09999999790497527,6.798394718440352e-10,0.09999999790497527,6.798394718440352e-10,2.038152488680084e-09
2022-01-01 03:00:00,0.1,0.1940114,1.3238747676675373e-05,1.2880283098997725,0.95,8.958039539596103e-10,0.0,0.0,8.958039539596103e-10,0.09998677162776924,1.1272234161599664e-08,0.09998677162776924,1.1272234161599664e-08,1.3227475442513773e-05
2022-01-01 04:00:00,0.1,0.16844409999999999,0.47815610423741234,1.666183245755999,0.95,3.909494109338019e-10,0.0,0.0,3.909494109338019e-10,4.0341220964603394e-09,0.37815610866249366,4.0341220964603394e-09,0.37815610866249366,0.09999999557491868
2022-01-01 05:00:00,0.12088803711672418,0.1709004,0.3909291279690332,1.9362235024120937,0.95,3.5477770370232396e-11,0.0,0.0,3.5477770370232396e-11,5.840158112029339e-10,0.2700410914717657,5.840158112029339e-10,0.2700410914717657,0.12088803649726748
2022-01-01 06:00:00,0.4082965850772712,0.1719773,1.149979469513406,2.677904095881557,0.95,2.1671777487988403e-10,0.0,0.0,2.1671777487988403e-10,1.1307985656070281e-09,0.7416828857835783,1.1307985656070281e-09,0.7416828857835783,0.4082965837298277
2022-01-01 07:00:00,0.7687733521173049,0.175208,1.4158712195400158,3.3249999644684585,0.95,2.610465927864979e-11,0.0,0.0,2.610465927864979e-11,2.1333177381536192e-10,0.6470978676621196,2.1333177381536192e-10,0.6470978676621196,0.7687733518778962
2022-01-01 08:00:00,0.29198037529499965,0.182952,0.29198034736702644,3.3249999319242924,0.95,1.1328837087363729e-10,0.0,0.0,1.1328837087363729e-10,2.9459016835188625e-08,1.6442893900558838e-09,2.9459016835188625e-08,1.6442893900558838e-09,0.29198034572273707
2022-01-01 09:00:00,0.16153613237856862,0.20762390000000003,0.16153612063929312,3.3249999186645125,0.95,1.2526756414025963e-10,0.0,0.0,1.2526756414025963e-10,1.401833713812454e-08,2.4041127218744008e-09,1.401833713812454e-08,2.4041127218744008e-09,0.1615361182351804
