timestamp,load [kW],price [€/kWh],grid_power [kW],soc_kwh [kWh],soc_max [kWh],pv_used [kW],pv_avail [kW],pv_to_bat [kW],pv_to_load [kW],battery_to_load [kW],p_charge [kW],p_discharge [kW],grid_to_bat [kW],grid_to_load [kW]
2022-07-18 21:00:00,0.35323112828239556,0.7643207,0.3532162607480704,,,1.4867202661953163e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3532162607480704
2022-07-18 22:00:00,0.16529979015245255,0.691394,0.16528253518163424,,,1.7254192964797334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16528253518163424
2022-07-18 23:00:00,0.12150564758486088,0.6098399999999999,0.12149214090417722,,,1.3505850373140064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12149214090417722
2022-07-19 00:00:00,0.1,0.5693412999999999,0.09999135684687903,,,8.642507608827523e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999135684687903
2022-07-19 01:00:00,0.1,0.5266404,0.09999221339620583,,,7.786030819005544e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999221339620583
2022-07-19 02:00:00,0.1,0.5164038000000001,0.09999240341588764,,,7.5960260572175585e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999240341588764
2022-07-19 03:00:00,0.1,0.5085146,0.09999271890615723,,,7.28055424501958e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999271890615723
2022-07-19 04:00:00,0.11143472822543421,0.5475492000000001,0.11142464063822238,,,1.0086905651173948e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11142464063822238
2022-07-19 05:00:00,0.18225302529785697,0.6552634,0.18223600288434771,,,1.7021734446340914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18223600288434771
2022-07-19 06:00:00,0.49545182274052363,0.7042563000000001,0.4954391847887505,,,1.2637721090969184e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4954391847887505
2022-07-19 07:00:00,1.0389605196679732,0.6067424,0.660919387294888,,,0.3780411321736224,0.3780340296430183,0.0,0.0,0.0,0.0,0.0,0.0,0.660919387294888
2022-07-19 08:00:00,0.4785165591085201,0.5376514,-6.663840708521276e-06,,,0.47852322315007734,0.7733351679776858,0.0,0.0,0.0,0.0,0.0,0.0,-6.663840708521276e-06
