timestamp,load [kW],price [€/kWh],grid_power [kW],soc_kwh [kWh],soc_max [kWh],pv_used [kW],pv_avail [kW],pv_to_bat [kW],pv_to_load [kW],battery_to_load [kW],p_charge [kW],p_discharge [kW],grid_to_bat [kW],grid_to_load [kW]
2022-11-23 01:00:00,0.1,0.2930378,0.09999788607297129,,,2.113717279953414e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999788607297129
2022-11-23 02:00:00,0.1,0.27474259999999995,0.09999805479289356,,,1.9450064235229235e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999805479289356
2022-11-23 03:00:00,0.1,0.2690677,0.09999809685528371,,,1.9029474601674652e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999809685528371
2022-11-23 04:00:00,0.10967553573525836,0.27367779999999997,0.10967291106777696,,,2.6244555096146184e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10967291106777696
2022-11-23 05:00:00,0.15342760230626942,0.30409719999999996,0.15342301073827508,,,4.591375619332211e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15342301073827508
2022-11-23 06:00:00,0.5253930650719425,0.3758018,0.5253890611551122,,,4.003898950372627e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5253890611551122
2022-11-23 07:00:00,1.073422238554768,0.4356,1.0734185793861977,,,3.659171766347575e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0734185793861977
2022-11-23 08:00:00,0.4362511468229961,0.4478089,0.4362468610643151,,,4.285730006022599e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4362468610643151
2022-11-23 09:00:00,0.20630075002978326,0.4011029,0.20629542036119816,,,5.329538163128146e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20629542036119816
2022-11-23 10:00:00,0.14549176543311737,0.3617295,0.14548670359190088,,,5.061618951765967e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14548670359190088
2022-11-23 11:00:00,0.1,0.33149159999999994,0.09999741254140364,,,2.587226085728541e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999741254140364
2022-11-23 12:00:00,0.11992289402303101,0.32424369999999997,0.11991916273099931,,,3.7310568766349084e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11991916273099931
2022-11-23 13:00:00,0.13958097268864458,0.3226465,0.13957651158912868,,,4.460881886061977e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13957651158912868
2022-11-23 14:00:00,0.17090272273029478,0.3407602,0.1708975940092054,,,5.128542292983653e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1708975940092054
2022-11-23 15:00:00,0.2397559757480368,0.3487462,0.23975080131925502,,,5.174328039214923e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23975080131925502
2022-11-23 16:00:00,0.3515856261904379,0.3725106,0.3515810045398454,,,4.621606146187444e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3515810045398454
2022-11-23 17:00:00,0.8731512059224484,0.39390339999999996,0.8731472353909965,,,3.97053100403537e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8731472353909965
2022-11-23 18:00:00,1.7773803783622266,0.3878171,1.777380396567033,,,-1.8184967401152024e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.777380396567033
2022-11-23 19:00:00,1.2270465913891992,0.38785339999999996,1.2270431420166004,,,3.4493815666293016e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2270431420166004
2022-11-23 20:00:00,0.7375462889774178,0.3208678,0.7375422007495709,,,4.088221837879325e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7375422007495709
2022-11-23 21:00:00,0.3821477135980627,0.300564,0.38214287068237396,,,4.842872018642763e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38214287068237396
2022-11-23 22:00:00,0.19387523231997095,0.2931588,0.19386999456155435,,,5.2375844465295855e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19386999456155435
2022-11-23 23:00:00,0.10724713644711611,0.2734842,0.10724498353924805,,,2.1526837031610638e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10724498353924805
2022-11-24 00:00:00,0.1,0.2931104,0.09999808522630843,,,1.9145536130349723e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999808522630843
2022-11-24 01:00:00,0.1,0.2615536,0.09999810234200099,,,1.897447678424995e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999810234200099
2022-11-24 02:00:00,0.11061725005858297,0.2567983,0.11061489543156755,,,2.354407802756784e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11061489543156755
2022-11-24 03:00:00,0.1,0.2547534,0.09999805678498307,,,1.9430062067995645e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999805678498307
2022-11-24 04:00:00,0.1130575718000791,0.2417459,0.11305520708950446,,,2.364497726918618e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11305520708950446
2022-11-24 05:00:00,0.18724817764438312,0.2800424,0.18724325813585058,,,4.91933628770731e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18724325813585058
2022-11-24 06:00:00,0.5092526678429878,0.37172409999999995,0.5092481914829649,,,4.476337972015509e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092481914829649
2022-11-24 07:00:00,1.0414286010971212,0.47757489999999997,1.0414244646720598,,,4.1364262396187244e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0414244646720598
2022-11-24 08:00:00,0.3992917568059597,0.48575450000000003,0.3992866248118291,,,5.131949925077313e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3992866248118291
2022-11-24 09:00:00,0.1939866874391055,0.47974079999999997,0.19398027409784666,,,6.413146474629839e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19398027409784666
2022-11-24 10:00:00,0.1,0.47983760000000003,0.09999564988772162,,,4.349760934300111e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999564988772162
2022-11-24 11:00:00,0.11674469907440307,0.4736424,0.11673908948846155,,,5.609238257765397e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11673908948846155
2022-11-24 12:00:00,0.14693692788365192,0.4410934,0.14693081947720635,,,6.108128044535754e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14693081947720635
2022-11-24 13:00:00,0.14409381619210457,0.44589710000000005,0.14408769186183998,,,6.124041435376323e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14408769186183998
