timestamp,load [kW],price [€/kWh],grid_power [kW],soc_kwh [kWh],soc_max [kWh],pv_used [kW],pv_avail [kW],pv_to_bat [kW],pv_to_load [kW],battery_to_load [kW],p_charge [kW],p_discharge [kW],grid_to_bat [kW],grid_to_load [kW]
2022-01-01 00:00:00,0.1,0.2737504,3.175427981291674e-09,7.088888891769092,0.95,1.0425597143619133e-10,0.0,0.0,1.0425597143619133e-10,0.10000000126417179,4.544019935460887e-09,0.10000000126417179,4.544019935460887e-09,-1.3685919541692127e-09
2022-01-01 01:00:00,0.1,0.2737504,3.637526022949746e-09,6.97193021452588,0.95,3.6097218269300217e-10,0.0,0.0,3.6097218269300217e-10,0.09999999922027224,3.2189581792609277e-09,0.09999999922027224,3.2189581792609277e-09,4.1856784368881817e-10
2022-01-01 02:00:00,0.1,0.2850034,5.36261495153859e-10,6.854971532427332,0.95,8.16182318348782e-11,0.0,0.0,8.16182318348782e-11,0.09999999982624352,4.4417344333220595e-10,0.09999999982624352,4.4417344333220595e-10,9.208805182165306e-11
2022-01-01 03:00:00,0.1,0.1940114,2.2605479909758146e-09,6.738012850871007,0.95,1.0514167550900258e-10,0.0,0.0,1.0514167550900258e-10,0.09999999864183177,1.0075777082188343e-09,0.09999999864183177,1.0075777082188343e-09,1.2529702827569802e-09
2022-01-01 04:00:00,0.1,0.16844409999999999,1.0582558978591698e-08,6.621054177332986,0.95,3.692965427085805e-10,0.0,0.0,3.692965427085805e-10,0.09999999369282707,4.644909199463672e-09,0.09999999369282707,4.644909199463672e-09,5.937649779128026e-09
2022-01-01 05:00:00,0.12088803711672418,0.1709004,2.3035187752960384e-08,6.479665142415111,0.95,6.845957290633569e-10,0.0,0.0,6.845957290633569e-10,0.12088802411912244,1.0722905260068235e-08,0.12088802411912244,1.0722905260068235e-08,1.2312282492892148e-08
2022-01-01 06:00:00,0.4082965850772712,0.1719773,4.904081135811699e-09,6.002126814642933,0.95,-3.855767527288004e-10,0.0,0.0,-3.855767527288004e-10,0.4082965874818855,6.922769182614209e-09,0.4082965874818855,6.922769182614209e-09,-2.0186880468025098e-09
2022-01-01 07:00:00,0.7687733521173049,0.175208,7.786267060548726e-09,5.102979574017958,0.95,2.3053333614752603e-08,1.1314231122404224,6.524642072927126e-09,2.3053333614752603e-08,0.7687733278026473,6.524642072927126e-09,0.7687733278026473,0.0,7.786267060548726e-09
2022-01-01 08:00:00,0.29198037529499965,0.182952,6.899759305861504e-09,4.761483167299141,0.95,4.49165593704224e-08,1.9372735299672423,4.896823193000468e-09,4.49165593704224e-08,0.29198032837564486,4.896823193000468e-09,0.29198032837564486,0.0,6.899759305861504e-09
2022-01-01 09:00:00,0.16153613237856862,0.20762390000000003,7.389056176853326e-10,4.572552593664408,0.95,9.580169463056596e-10,2.8738051306294152,7.114378652082621e-10,9.580169463056596e-10,0.16153613139313078,7.114378652082621e-10,0.16153613139313078,0.0,7.389056176853326e-10
2022-01-01 10:00:00,0.1,0.2157793,4.0705102690265005e-10,4.455593882806393,0.95,2.632070217361298e-10,2.4215504187476737,2.1403110847270224e-10,2.632070217361298e-10,0.09999999954386717,2.1403110847270224e-10,0.09999999954386717,0.0,4.0705102690265005e-10
